title,url,date,text
ВСУ ударили по Херсонской области,https://lenta.ru/news/2025/04/13/vsu-udarili-po-hersonskoy-oblasti/,2025-04-13 22:22:00,"Губернатор Херсонской области Владимир Сальдо заявил, что Вооруженные силы Украины (ВСУ) ударили по региону, работает система противовоздушной обороны (ПВО). Об этом он сообщил в своем Telegram-канале.
«Зафиксированы сбития нескольких БПЛА над акваториями Черного и Азовского морей, а также в небе над Нижнесерогозским и Геническим муниципальными округами», — сообщил Сальдо.
По его словам, также зафиксированы прилеты по коммунальной инфраструктуре и дорожной технике. Информация о пострадавших уточняется.
Ранее Сальдо заявил, что Владимир Зеленский срывает все мирные инициативы президента США Дональда Трампа по Украине. Политик назвал Зеленского «марионеткой нижнего уровня», которая беспрекословно выполняет указания. Губернатор подчеркнул, что мирным инициативам Трампа противостоят представители финансово-олигархической элиты и их ставленники из руководства государств и ряда международных организаций."
В ЕС начали готовить предложения для отмены пошлин США,https://lenta.ru/news/2025/04/13/v-es-nachali-gotovit-predlozheniya-dlya-otmeny-poshlin-ssha/,2025-04-13 22:20:00,"Перед встречей премьер-министра Италии Джорджи Мелони с президентом США Дональдом Трампом для переговоров по поводу пошлин, запланированной на 17 апреля, Еврокомиссия обращалась к странам-членам ЕС с вопросом о готовности закупать больше американских газа и оружия. Об этом написала газета Corriere della Sera без указания источников.
Уточняется, что в европейских странах начали готовить предложения для отмены пошлин США. Журналисты утверждают, что Италия «дала зеленый свет» по обоим пунктам после оценок, которые сделало правительство вместе с нефтегазовой компанией Eni и предприятиями из оборонной промышленностью, среди которых Leonardo. Власти общались с производствами, способными сотрудничать с США, а также с теми, кто уже занимается этим.
2 апреля Трамп подписал указ о повышении импортных пошлин на продукцию из 185 стран. Базовая ставка составила 10 процентов, однако для ряда государств пошлины достигли 30-55 процентов.
Наиболее высокие тарифы оказались у Камбоджи (49 процентов), Вьетнама (46 процентов), Таиланда (36 процентов) и Китая (34 процента). Решение ужесточить торговлю Трамп объяснил усиливающимся торговым дисбалансом, угрожающим национальной безопасности США."
Новосибирский чиновник потратил взятку на покупку бронетехники для СВО,https://lenta.ru/news/2025/04/13/vzatka/,2025-04-13 22:12:00,"Глава АО «Корпорация развития Новосибирской области» Александр Зырянов потратил взятку на покупку бронированных автомобилей «Газель», которые затем были отправлены в зону проведения спецоперации (СВО). Об этом пишет «Коммерсант» («Ъ»).
По данным издания, на покупку пяти бронированных «Газелей» потратили около трех миллионов рублей. Это в том числе сумма, полученная в качестве взятки. Как уточнили журналисты, в апреле 2024 года бронетехнику отправили в Донецк.
«Зырянову было предъявлено обвинение в совершении двух преступлений, предусмотренных статьей 290 УК РФ — получение взятки в особо крупном размере и покушение на взятку», — говорится в сообщении.
В июне 2024 года стало известно о возбуждении уголовного дела в отношении Зырянова и председателя совета директоров УК «Промышленно-логистический парк» Александра Гоманова."
Названы опасные для мужчин после 40 лет упражнения,https://lenta.ru/news/2025/04/13/nazvany-opasnye-dlya-muzhchin-posle-40-let-uprazhneniya/,2025-04-13 22:03:00,"Фитнес-тренер Дэвид Лоуренс назвал упражнения, опасные для мужчин после 40 лет. Его слова приводит Men Today.
Первым опасным упражнением эксперт посчитал жим штанги из-за головы, так как он может негативно сказаться на состоянии плечевых суставов. Следующими станут приседания в тренажере Смита и тяга штанги к подбородку, так как они увеличивают риск травм.
Последним Лоуренс указал жим ногами и тягу верхнего блока за голову. При тренировках он посоветовал соблюдать баланс интенсивности и восстановления.
Ранее эксперт по осанке и естественному омоложению Ольга Махова назвала опасные для полных людей упражнения. Эксперт заявила, что при такой комплекции противопоказано бегать и прыгать на скакалке."
Раскрыто состояние пострадавших при ударе по Сумам,https://lenta.ru/news/2025/04/14/raskryto-sostoyanie-postradavshih-pri-udare-po-sumam/,2025-04-13 21:57:00,"После удара по Сумам в медицинские учреждения были доставлены почти 70 пострадавших. Некоторые находятся в тяжелом состоянии. Эти данные раскрыл президент Украины Владимир Зеленский в Telegram-канале.
«68 пострадавших находятся в медицинских учреждениях. Из них восемь — в тяжелом состоянии», — написал украинский лидер. Он подчеркнул, что врачи оказывают раненым всю необходимую помощь.
Зеленский добавил, что экстренные службы страны работают над ликвидацией последствий ударов.
Ранее сообщалось, что удар пришелся по скоплению военных Вооруженных сил Украины, собравшихся на награждение.
Госслужба Украины по чрезвычайным ситуациям в свою очередь сообщала, что жертвами удара стали 34 человека, еще 117 человек пострадали."
Симоньян предрекла превращение удара по Сумам в «новую Бучу»,https://lenta.ru/news/2025/04/13/simonyan-predrekla-prevraschenie-udara-po-sumam-v-novuyu-buchu/,2025-04-13 21:50:00,"Удар по Сумам будет выдан за «новую Бучу», заявила в своем Telegram-канале главред медиагруппы «Россия сегодня» и RT Маргарита Симоньян.
По ее мнению, «это будет сделано с большой поддержкой прессы и другой драматургией, чтобы впечатлить впечатлительного» президента США Дональда Трампа. Симоньян подчеркнула, что украинские власти «будут пытаться сделать новую Бучу постоянно», потому что «это единственный способ для них сейчас продлить войну».
Ранее президент Украины Владимир Зеленский заявил, что число погибших при ударе в Сумах достигло 34 человек.
Депутат Верховной Рады Марьяна Безуглая рассказала, что удар по центру города Сумы пришелся по скоплению военных. Мэр Конотопа Артем Семенихин сообщил, что они отмечали семилетнюю годовщину создания 117-й бригады теробороны в Сумах, куда пришелся удар."
На Украине заявили о 34 погибших при ударе по Сумам,https://lenta.ru/news/2025/04/13/ukr/,2025-04-13 21:40:00,"В результате удара по Сумам погибли 34 человека. Об этом в Telegram-канале сообщила Госслужба Украины по чрезвычайным ситуациям (ГСЧС).
«По состоянию на 21:00 (время совпадает с московским) в результате происшествия погибли 34 человека, из них двое детей. Травмированы 117 человек, из них 15 детей», — отметили в ведомстве.
Ранее стало известно, что во время удара по Сумам Вооруженные силы Украины (ВСУ) прикрылись гражданскими.
До этого сообщалось, что удар пришелся по скоплению военных, собравшихся на награждение."
В Курской области нашли украинский беспилотник весом 200 килограммов,https://lenta.ru/news/2025/04/14/v-kurskoy-oblasti-nashli-ukrainskiy-bespilotnik-vesom-200-kilogrammov/,2025-04-13 21:35:00,"В Курской области 13 апреля обнаружили упавший украинский беспилотник (БПЛА), способный нести до 50 килограммов нагрузки. Общий вес летательного аппарата составляет 200 килограммов, рассказал временно исполняющий обязанности губернатора региона Александр Хинштейн в Telegram-канале.
Как уточнил глава области, находка была сделана на территории Глушковского района. «Из-за своих габаритов этот БПЛА способен поднимать до 50 килограммов, пролетать со скоростью 150 километров в час до тысячи километров! Не нужно говорить о том, какой урон он способен причинить», — написал Хинштейн.
Он добавил, что место падения беспилотника уже оцепили, вскоре саперы приступят к разминированию.
Днем 13 апреля над Курской и Брянской областями было сбито два беспилотника Вооруженных сил Украины (ВСУ). Также сообщалось, что за прошедшие сутки в Курской области ВСУ потеряли до 190 военнослужащих и военную технику."
На Украине опровергли встречу с представителями России в Турции,https://lenta.ru/news/2025/04/13/ukraina-oprovergla-vstrechu-s-predstavitelyami-rossii-v-turtsii/,2025-04-13 21:34:00,"Информация о запланированной на 15-16 апреля встрече представителей России и Украины по вопросам безопасности в Черном море в Турции не соответствуют действительности. Об этом сообщил телеканал ТСН со ссылкой на главу МИД Украины Андрея Сибигу.
Ведущая телеканала заявила, что министр опроверг планы по переговорам Москвы и Киева о безопасности в Черном море. «Ничего такого, говорит Андрей Сибига, не планировалось», — подчеркнула она.
Ранее сообщалось, что переговоры России и Украины по безопасности судоходства в Черном море должны пройти 15-16 апреля. Об этом заявил телеканал CNN Turk, сославшись на источники в Минобороны Турции. Предполагалось, что переговоры состоятся в Анкаре.
10 апреля в Стамбуле прошли переговоры российской и американской делегаций. Встреча продвинула нормализацию работы посольств двух государств. Пресс-секретарь президента России Дмитрий Песков уточнил, что ситуация вокруг Украины на этих переговорах не обсуждалась."
Российский военный обезвредил дрон ВСУ палкой,https://lenta.ru/news/2025/04/13/dron/,2025-04-13 21:32:00,"Российский военный ударом палки обезвредил дрон Вооруженных сил Украины (ВСУ), который пытался атаковать. Видео инцидента появилось в Telegram-канале военкора Евгения Лисицына.
На кадрах боец с палкой идет среди деревьев. Его атакует беспилотник. Благодаря быстрой реакции военнослужащий обезвреживает аппарат.
25 марта американский видеоблогер и независимый журналист Патрик Ланкастер снял кадры противостояния солдат Вооруженных сил РФ и украинского беспилотника, следовавшего за машиной, в которой ехал репортер. На кадрах видно, как один из бойцов замечает летящий позади автомобиля дрон, после чего по нему открывается огонь из огнестрельного орудия. После сбития беспилотника в машине раздаются радостные возгласы."
В США заявили о планах Трампа превратить Россию в родственную душу Америки,https://lenta.ru/news/2025/04/14/v-ssha-zayavili-o-planah-trampa-prevratit-rossiyu-v-rodstvennuyu-dushu-ameriki/,2025-04-13 21:29:00,"Президент США Дональд Трамп в ходе второго срока хочет изменить отношения с Россией, его политика нацелена на то, чтобы Вашингтон сблизился с Москвой. С такой точкой зрения выступила газета The New York Times (NYT).
Как указывается в материале, на протяжении долгого времени Соединенные Штаты воспринимали Россию как страну, которая может быть фоном, чтобы Вашингтон мог утвердить свои диаметрально противоположные ценности.
«Россия — это воображаемый близнец или темный двойник Америки, сестра-сверхдержава, которую Соединенные Штаты вечно либо демонизируют, либо пытаются переделать по своему образу и подобию», — пишет газета. Однако она отмечает, что так было до вступления Трампа в должность американского лидера.
Сейчас президент США якобы хочет превратить Россию в свою родственную душу, на что указывает его политика и риторика. Для этого он, как пишет NYT, пытается изолировать Китай, в то же время выстраивая более тесные связи с Москвой. В подтверждение этих слов газета напоминает слова американского вице-президента Джей Ди Вэнса, который говорил, что было бы смешно для США «толкать Россию в руки китайцев».
12 апреля стало известно, что Трамп на год продлил действие пакета антироссийских санкций, введенного его предшественником Джо Байденом."
В Раде раскрыли планы Зеленского в отношении России,https://lenta.ru/news/2025/04/13/v-rade-raskryli-plany-zelenskogo-v-otnoshenii-rossii/,2025-04-13 21:25:00,"Депутат Верховной Рады Александр Дубинский, находящийся в СИЗО по подозрению в госизмене, заявил, что президент Украины Владимир Зеленский хочет предложить американскому лидеру Дональду Трампу альтернативный план по Украине. Об этом он написал в Telegram-канале
Дубинский раскрыл планы Зеленского в отношении России и подчеркнул, что тот стремится продолжить конфликт.
«При помощи Франции и Британии Зеленский предлагает Трампу продолжить войну — то есть, создает параллельный мирному проект, которым предлагает воспользоваться США, если у них не сложится с Росссией», — сказал он.
Ранее глава дипломатии Евросоюза Кая Каллас заявила о провале встречи «коалиции желающих» по Украине. Она призналась, что государства, входящие в объединение, обладают разными мнениями по вопросу урегулирования украинского конфликта, из-за чего переговоры пока не дали результатов."
В России призвали власти выступить с заявлением по поводу удара по Сумам,https://lenta.ru/news/2025/04/13/v-rossii-prizvali-vlastey-vystupit-s-zayavleniem-po-povodu-udara-po-sumam/,2025-04-13 21:25:00,"России надо сформулировать свою версию случившегося и выразить соболезнования по поводу гибели мирных жителей после удара по Сумам, заявил в своем Telegram-канале российский политолог Сергей Марков.
«Нельзя сдавать информационное пространство противнику в важные моменты времени и важным проблемам. Позиция России должна звучать громко», — подчеркнул он, отметив, что сейчас после заявлений западных и украинских политиков формируется мнение мирового сообщества.
Марков вместе с этим предложил призвать украинские власти «перестать собирать на военные мероприятия детей и вообще гражданских людей».
Ранее президент Украины Владимир Зеленский заявил, что число погибших при ударе в Сумах достигло 34 человек.
Депутат Верховной Рады Марьяна Безуглая рассказала, что удар по центру города Сумы пришелся по скоплению военных. Мэр Конотопа Артем Семенихин сообщил, что они отмечали семилетнюю годовщину создания 117-й бригады теробороны в Сумах, куда пришелся удар."
Стали известны подробности удара по Сумам,https://lenta.ru/news/2025/04/13/sum/,2025-04-13 21:16:00,"Во время удара по Сумам Вооруженные силы Украины (ВСУ) прикрылись гражданскими. Об этом сообщил Telegram-канал «Архангел спецназа».
Отмечается, что одна из ракет пришлась точно по зданию конгресс-центра Сумского государственного университета, где проходило мероприятие военнослужащих 117-й отдельной бригады территориальной обороны.
«Вторая ракета то ли из-за неточности, то ли из-за воздействия РЭБ попала немного в другое место, из-за чего погибли и пострадали гражданские», — указал источник.
По его данным, российские войска били целенаправленно по скоплению ВСУ, которые в преддверии награждения согнали гражданских в это место.
Ранее народный депутат Верховной Рады Марьяна Безуглая заявила, что ВС России ударили по скоплению военных. Позже стали известны подробности: ликвидированы военные, которые пришли на награждение."
Военный эксперт рассказал о спасенной от военных действий церковной утвари,https://lenta.ru/news/2025/04/13/voennyy-ekspert-rasskazal-o-spasennoy-ot-voennyh-deystviy-tserkovnoy-utvari/,2025-04-13 21:16:00,"Военнослужащие Вооруженных сил Российской Федерации (ВС РФ) спасли церковную утварь от военных действий. Об этом рассказал военно-политический эксперт Ян Гагин, передает РИА Новости.
«Мы находимся в селидовской исправительной колонии. Естественно, мы обследовали территорию, нашли следы пребывания военнослужащих ВСУ и нашли церковь, которая была разграблена военнослужащими Украины (...). Наши бойцы, когда заняли этот объект для того, чтобы сохранить оставшуюся церковную утварь, перенесли иконы, перенесли церковную утварь», — рассказал Гагин.
По его словам, военные готовы помочь представителям Русской православной церкви и вернуть церковную утварь, найденную в Вербное воскресенье.
Ранее Гагин сообщил, что положение Вооруженных сил Украины (ВСУ) в районе Покровска в Донецкой народной республике (ДНР) близко к критическому. К этому привело нарушение логистики ВСУ. Однако какое-то количество боеприпасов гарнизон продолжает получать, пояснил он."
ВСУ ударили по Каменке-Днепровской в Запорожской области,https://lenta.ru/news/2025/04/14/vsu-udarili-po-kamenke-dneprovskoy-v-zaporozhskoy-oblasti/,2025-04-13 21:12:00,"Вооруженные силы Украины (ВСУ) нанесли удар по городу Каменка-Днепровская, расположенному в Запорожской области. Целью атаки стали дома гражданских, рассказал председатель комиссии Общественной палаты РФ по вопросам суверенитета, сопредседатель координационного совета по интеграции новых регионов Владимир Рогов, его цитирует РИА Новости.
«Боевики ВСУ нанесли массированный удар по городу Каменке-Днепровской из РСЗО [реактивной системы залпового огня] Vampire чешского производства», — сообщил Рогов.
Он отметил, что зафиксировано минимум четыре прилета. При этом ВСУ пытались попасть в дома мирных граждан. Пока информация о пострадавших и разрушениях не поступала.
Ранее стало известно, что ВСУ атаковали мост через реку Обеста в Рыльском районе Курской области. Он расположен в двух километрах от границы с Украиной."
Первая переданная России северокорейская Koksan якобы уничтожена в Курской области,https://lenta.ru/news/2025/04/13/pervaya-peredannaya-rossii-severokoreyskaya-koksan-yakoby-unichtozhena-v-kurskoy-oblasti/,2025-04-13 21:02:00,"В Курской области якобы уничтожена первая самоходная артиллерийская установка (САУ) M1989 Koksan переданная России Северной Кореей. Об этом сообщает «Военный осведомитель» со ссылкой на украинские источники.
«Самоходку подловили FPV-дроны в момент транспортировки», — говорится в сообщении. Другие подробности не приводятся, официального подтверждения этой информации также нет.
Ранее сообщалось, что появились новые фото северокорейской артиллерии в зоне проведения специальной военной операции.
В июне в ходе визита президента России Владимира Путина в КНДР лидеры двух стран договорились о всеобъемлющем стратегическом партнерстве. В начале ноября Путин подписал закон о ратификации договора о партнерстве с Северной Кореей. Через несколько дней сообщили, что КНДР также ратифицировала совместный с Россией договор о стратегическом партнерстве."
Жертвой атаки украинского дрона в российском регионе стал водитель грузовика,https://lenta.ru/news/2025/04/13/zhertvoy-ataki-ukrainskogo-drona-v-rossiyskom-regione-stal-voditel-gruzovika/,2025-04-13 20:52:00,"Житель Белгородской области стал жертвой удара украинского дрона по грузовику. Об этом сообщил глава региона Вячеслав Гладков в Telegram-канале.
Беспилотник Вооруженных сил Украины атаковал грузовой автомобиль в поселке Ракитное. Ранения, не совместимые с жизнью, получил водитель. Губернатор принес соболезнования родным и близким мужчины.
В Минобороны России сообщили, что ВСУ за сутки два раза ударили по объектам энергоинфраструктуры России в Белгородской области. В результате обстрела энергообъекта в приграничье без электроснабжения осталось свыше 600 жителей в Шебекинском округе."
Названа сумма призовых футболистам «Зенита» за победу над «Краснодаром»,https://lenta.ru/news/2025/04/13/nazvana-summa-prizovyh-futbolistam-zenita-za-pobedu-nad-krasnodarom/,2025-04-13 20:47:00,"Футболисты петербургского «Зенита» получат призовые за победу над «Краснодаром» в матче 24-го тура Российской премьер-лиги (РПЛ). Об этом сообщает Sport24.
По информации источника, в случае победы каждому игроку обещали по 110 тысяч евро. При этом при разгромном выигрыше с разницей в три мяча и более — по 250 тысяч евро.
Ранее 13 апреля «Зенит» одержал разгромную победу над «Краснодаром». Встреча прошла на стадионе «Санкт-Петербург» и завершилась со счетом 4:1 в пользу хозяев.
Таким образом, после 24 матчей «Краснодар» остается лидером РПЛ, имея в активе 52 очка. «Зенит» располагается на втором месте в турнирной таблице РПЛ, набрав 50 очков."
Власти Украины назвали число погибших в Сумах,https://lenta.ru/news/2025/04/13/vlasti-ukrainy-nazvali-chislo-pogibshih-v-sumah/,2025-04-13 20:42:00,"Президент Украины Владимир Зеленский заявил, что число погибших при ударе в Сумах достигло 34 человек. Об этом он сообщил в своем Telegram-канале.
По его словам, причиной взрывов стали две баллистические ракеты, удар пришелся по центру города.
При этом ранее Государственная служба по чрезвычайным ситуациям Украины сообщила о 32 погибших и более 80 раненых.
В свою очередь, депутат Верховной Рады Марьяна Безуглая заявила, что удар по центру города Сумы пришелся по скоплению военных. Она попросила главнокомандующего Вооруженными силами Украины Александра Сырского и командующего теробороной Игоря Плахуту не собирать военных на награждение в городах.
Мэр Конотопа Артем Семенихин сообщил, что украинские военные отмечали семилетнюю годовщину создания 117-й бригады теробороны в Сумах, куда пришелся удар."
Слова Макрона о России вызвали недоумение во Франции,https://lenta.ru/news/2025/04/13/slova-makrona-o-rossii-vyzvali-nedoumenie-vo-frantsii/,2025-04-13 20:34:00,"Французский политик, лидер партии «Патриоты» Флориан Филиппо удивился словам главы республики Эммануэля Макрона о необходимости принудить Россию к прекращению огня. Публикацию он разместил в соцсети X.
Президент Франции в своем посте призвал к решительным мерам для того, чтобы навязать России прекращение огня. При этом, по словам Макрона, Франция неустанно работает над этим вместе со своими союзниками.
«Что это значит?! ""Навязать"" прекращение огня, отправив еще больше оружия, денег и даже французских солдат на Украину?» — возмутился в ответ Филиппо. Политик также обвинил французского лидера в том, что своими действиями он приближает не перемирие, а третью мировую войну.
Ранее аналитик Центра политических исследований Sciences Po в Париже Брюно Котре заявил, что Макрону теперь доверяет лишь каждый четвертый француз. В частности, по мнению эксперта, избиратели не верят, что французский лидер сможет принять решительные меры в отношении конфликта на Украине."
Минобороны сообщило об уничтожении БПЛА ВСУ над Брянской и Курской областями,https://lenta.ru/news/2025/04/13/minoborony-soobschilo-o-sbitii-bpla-vsu-nad-bryanskoy-i-kurskoy-oblastyami/,2025-04-13 20:25:00,"Два беспилотника самолетного типа Вооруженных сил Украины (ВСУ) были сбиты над Брянской и Курской областями. Об этом сообщило Министерство обороны России в своем Telegram-канале.
«В период с 16:30 до 19:00 мск дежурными средствами ПВО уничтожены два украинских беспилотных летательных аппарата самолетного типа», — указано в сообщении ведомства.
Губернатор Брянской области Александр Богомаз поблагодарил подразделения ПВО за работу и сообщил, что пострадавших и разрушений в результате атаки нет.
Ранее Минобороны сообщило, что в Курской области ВСУ за сутки потеряли до 190 военнослужащих и военную технику. Уничтожены личный состав, танк, БМП и одна бронемашина, 12 автомобилей, реактивная система залпового огня БМ-21 «Град», 4 артиллерийских орудия и три миномета."
На Украине объяснили сбор военных в месте удара ВС России в Сумах,https://lenta.ru/news/2025/04/13/na-ukraine-ob-yasnili-sbor-voennyh-v-meste-udara-vs-rossii-v-sumah/,2025-04-13 20:23:00,"Украинские военные отмечали семилетнюю годовщину создания 117-й бригады теробороны в Сумах, куда пришелся удар ВС России. Об этом сообщил мэр Конотопа Артем Семенихин, передает Strana.ua.
По его словам, военные находились в укрытии и не пострадали. Он также сообщил об уголовном деле из-за сбора бойцов теоробороны. Семенихин обвинил в произошедшем главу Сумской области Владимира Артюха.
Ранее мэр Конотопа призвал губернатора региона уйти в отставку и извиниться за случившееся. В противном случае он обещал раскрыть подробности о сборе военных.
Депутат Верховной Рады Марьяна Безуглая сообщала, что удар пришелся по скоплению военных, собравшихся на награждение. Она напомнила, что за похожие случаи никто из украинских командующих не понес наказания."
Пробравшиеся в тыл ВСУ у Суджи российские бойцы раскрыли детали операции «Поток»,https://lenta.ru/news/2025/04/13/probravshiesya-v-tyl-vsu-u-sudzhi-rossiyskie-boytsy-raskryli-detali-operatsii-potok/,2025-04-13 20:18:00,"Бойцы штурмовой группы, участвовавшие в операции «Поток» по переброске в тыл противника по газовой трубе на территории Курской области, узнали о своей задаче за четыре часа до ее начала. Об этом рассказал командир группы спецназа «Ахмат» с позывным Аид, передает ТАСС.
По его словам, подготовка к операции по проникновению в глубину обороны Вооруженных сил Украины (ВСУ) в районе Суджи проходила в условиях полной секретности с конца февраля. В штурмовую группу отбирались физически крепкие бойцы, не страдающие клаустрофобией. Аид поставил перед ними задачу за четыре часа до выдвижения и захода в газовую трубу.
Они, «как и подобает русскому воину», выслушали спокойно, без вопросов и сомнений пошли за командиром «в темноту трубы», добавил Аид.
Боец штурмовой бригады «Ветераны» Александр Богачев рассказал, что после принятия решения о проведении операции с использованием трубы необходимо было скрытно стравливать газ из нее, чтобы не раскрыть планов перед противником. Давление было в пределах 12 атмосфер, а в действующей трубе порядка 60 атмосфер, добавил он.
В Курске открылась выставка, посвященная операции «Поток», на которой выставлен макет газовой трубы диаметром 144 сантиметра, по которой шли военнослужащие Вооруженных сил России, обмундирование, электромопеды и газовое оборудование, фотографии участников операции с их рассказами о пережитом."
Опубликовано видео с жалобами командира ВСУ на мобилизованных,https://lenta.ru/news/2025/04/13/opublikovano-video-s-zhalobami-komandira-vsu-na-mobilizovannyh/,2025-04-13 20:14:00,"В сети появилось видео с предполагаемым командиром Вооруженных сил Украины (ВСУ), жалующимся на качество присылаемого на фронт пополнения. Ролик в своем Telegram-канале опубликовало украинское издание «Страна».
«Пришло ко мне, к примеру, 50 человек. Один — сразу в СОЧ. Осталось 49. Из них 25 — вроде как ограниченно пригодные, сразу показали соответствующие справки», — сказал представитель ВСУ.
Герой ролика также выразил недоумение относительно отбора мобилизованных в военкоматах и учебных центрах.
Ранее в ВСУ заявили, что за последний месяц ситуация для украинской армии ухудшилась. Спикер 66-й отдельной механизированной бригады имени князя Мстислава Храброго Анастасия Блищик отметила, что у Вооруженных сил России наблюдается преимущество в живой силе и беспилотниках."
Трамп пошутил над Байденом,https://lenta.ru/news/2025/04/13/tramp-poshutil-nad-baydenom/,2025-04-13 19:51:00,"Президент США Дональд Трамп сравнил свой график и стиль общения с прессой со своим предшественником Джо Байденом. Соответствующее видео опубликовано в X.
«В отличие от Байдена, я всегда доступен. Думаете, Байден стал бы давать интервью в два часа ночи?» — пошутил политик, общаясь с журналистами поздно ночью. Следом он пошутил, что экс-лидер Соединенных Штатов не стал бы общаться с прессой и в 9 часов утра.
Ранее сообщалось, что Трамп потребовал отказаться от позиции, продвигаемой Байденом, согласно которой американские ценности изначально были вредными и угнетающими. Об этом стало известно из указа нынешнего главы США.
Перед этим Трамп также заявил, что приходится разбираться с последствиями работы его предшественника. При этом он назвал Байдена худшим президентом Америки."
Панарин обратился с просьбой к ФНС из-за долга,https://lenta.ru/news/2025/04/13/panarin-obratilsya-s-prosboy-k-fns-iz-za-dolga/,2025-04-13 19:49:00,"Российский нападающий клуба Национальной хоккейной лиги (НХЛ) «Нью-Йорк Рейнджерс» Артемий Панарин в интервью YouTube-каналу «Это хоккей, брат!» обратился с просьбой к Федеральной налоговой службе (ФНС) России из-за долга.
«Не наказывайте меня. Налоги капают, пени капают. Деньги есть, все заплачу. Просто не могу сейчас», — заявил хоккеист. Он объяснил, что ему нужно изменить информацию в «Госуслугах», чтобы оплатить долг, однако он сможет сделать это только по возвращении в Россию.
3 февраля Telegram-канал Mash сообщил, что Панарин задолжал российской налоговой. Сумма составила 75 тысяч рублей.
Среднегодовая сумма контракта Панарина с «Рейнджерс» составляет 11,6 миллиона долларов. Он является одним из самых высокооплачиваемых игроков НХЛ."
Стало известно о грозящем экс-замминистра обороны Иванову новом уголовном деле,https://lenta.ru/news/2025/04/13/stalo-izvestno-o-grozyaschem-novom-ugolovnom-dele-protiv-eks-zamministra-oborony-ivanova/,2025-04-13 19:47:00,"Бывшему заместителю министра обороны Тимуру Иванову грозит новое дело. Об этом сообщает Telegram-канал Mash.
«Арестованному замминистра обороны Тимуру Иванову грозит новое дело. Его знаменитый особняк из ""Мастера и Маргариты"" могли ремонтировать за счет военного подрядчика», — указано в сообщении.
Как пишет Mash, компания ООО «Дворянское гнездо» арендовала дом на 49 лет и попыталась через суд вернуть деньги, потраченные на последний ремонт, у соинвестора ООО «Оборонспецстрой», связанного с госзаказами министерства обороны. «Дворянское гнездо», как отмечается, хочет компенсировать расходы через военного подрядчика — на то якобы были соответствующие договоренности. Суд отказал в иске в двух инстанциях ввиду отсутствия доказательств. Компании между тем не стали комментировать связь с Тимуром Ивановым.
Ранее стало известно, что общая сумма ущерба по делу в отношении экс-замминистра обороны о растрате и вывода из банка денежных средств превысила 4,1 миллиарда рублей."
Российская стюардесса показала разгромленный мигрантами самолет,https://lenta.ru/news/2025/04/13/rossiyskaya-styuardessa-pokazala-razgromlennyy-migrantami-samolet/,2025-04-13 19:46:00,"Бывшая российская бортпроводница опубликовала видео, на котором запечатлен самолет, разгромленный депортированными из Европы мигрантами. На кадры обратило внимание издание Baza.
На видео заметны разбитые иллюминаторы, вырванный унитаз, поврежденные кресла и панель бортпроводников. Бывшая стюардесса уточнила, что это чартерный рейс из Европы в Африку, подробности и название авиакомпании она не раскрыла, однако добавила, что в данный момент судится с ней.
Автор видео также рассказала, что произошедший инцидент ранее не освещался в СМИ.
Ранее сообщалось, что пассажир авиакомпании American Airlines разозлился из-за того, что не получил желаемую еду в самолете, и устроил дебош."
